frame_idx,level,count,gpu_mem_mb
354,P5,26,463
355,P3,0,0
356,P4,7,102
357,P5,25,488
358,P3,0,0
359,P4,4,106
360,P5,24,512
361,P3,0,0
362,P4,0,0
363,P5,0,0
364,P3,0,0
365,P4,29,29
366,P5,6,6
367,P3,0,0
368,P4,25,54
369,P5,11,17
370,P3,0,0
371,P4,30,84
372,P5,8,25
373,P3,0,0
374,P4,32,116
375,P5,7,32
376,P3,0,0
377,P4,29,145
378,P5,7,39
379,P3,1,1
380,P4,25,170
381,P5,14,53
382,P3,0,1
383,P4,26,196
384,P5,3,56
385,P3,0,1
386,P4,33,229
387,P5,10,66
388,P3,0,1
389,P4,32,261
390,P5,7,73
391,P3,0,1
392,P4,31,292
393,P5,8,81
394,P3,0,1
395,P4,34,326
396,P5,11,92
397,P3,0,1
398,P4,37,363
399,P5,5,97
400,P3,0,1
401,P4,33,396
402,P5,10,107
403,P3,0,1
404,P4,31,427
405,P5,8,115
406,P3,0,1
407,P4,32,459
408,P5,10,125
409,P3,0,1
410,P4,27,486
411,P5,14,139
412,P3,0,1
413,P4,28,514
414,P5,6,145
415,P3,0,1
416,P4,31,545
417,P5,16,161
418,P3,0,1
419,P4,29,574
420,P5,4,165
421,P3,0,1
422,P4,26,600
423,P5,6,171
424,P3,0,1
425,P4,26,626
426,P5,6,177
427,P3,1,2
428,P4,26,652
429,P5,13,190
430,P3,1,3
431,P4,37,689
432,P5,10,200
433,P3,2,5
434,P4,31,720
435,P5,9,209
436,P3,0,5
437,P4,30,750
438,P5,23,232
439,P3,0,5
440,P4,25,775
441,P5,13,245
442,P3,0,5
443,P4,33,808
444,P5,10,255
445,P3,0,5
446,P4,34,842
447,P5,6,261
448,P3,1,6
449,P4,33,875
450,P5,16,277
451,P3,0,6
452,P4,36,911
453,P5,8,285
454,P3,1,7
455,P4,47,958
456,P5,17,302
457,P3,0,7
458,P4,27,985
459,P5,16,318
460,P3,0,0
461,P4,0,0
462,P5,0,0
463,P3,0,0
464,P4,2,2
465,P5,32,32
466,P3,1,1
467,P4,0,2
468,P5,18,50
469,P3,0,1
470,P4,2,4
471,P5,28,78
472,P3,0,1
473,P4,2,6
474,P5,32,110
475,P3,0,0
476,P4,0,0
477,P5,0,0
478,P3,0,0
479,P4,10,10
480,P5,20,20
481,P3,0,0
482,P4,13,23
483,P5,20,40
484,P3,0,0
485,P4,9,32
486,P5,20,60
487,P3,0,0
488,P4,11,43
489,P5,23,83
490,P3,0,0
491,P4,9,52
492,P5,21,104
493,P3,0,0
494,P4,12,64
495,P5,21,125
496,P3,0,0
497,P4,10,74
498,P5,19,144
499,P3,0,0
500,P4,16,90
501,P5,27,171
502,P3,0,0
503,P4,10,100
504,P5,24,195
505,P3,0,0
506,P4,6,106
507,P5,25,220
508,P3,0,0
509,P4,12,118
510,P5,19,239
511,P3,0,0
512,P4,12,130
513,P5,19,258
514,P3,0,0
515,P4,7,137
516,P5,20,278
517,P3,0,0
518,P4,5,142
519,P5,20,298
520,P3,0,0
521,P4,7,149
522,P5,22,320
523,P3,0,0
524,P4,8,157
525,P5,19,339
526,P3,0,0
527,P4,6,163
528,P5,20,359
529,P3,0,0
530,P4,14,177
531,P5,17,376
532,P3,0,0
533,P4,6,183
534,P5,19,395
535,P3,0,0
536,P4,3,186
537,P5,20,415
538,P3,0,0
539,P4,6,192
540,P5,20,435
541,P3,0,0
542,P4,5,197
543,P5,20,455
544,P3,0,0
545,P4,9,206
546,P5,20,475
547,P3,0,0
548,P4,7,213
549,P5,19,494
550,P3,0,0
551,P4,13,226
552,P5,26,520
553,P3,0,0
554,P4,7,233
555,P5,24,544
556,P3,0,0
557,P4,9,242
558,P5,20,564
559,P3,0,0
560,P4,18,260
561,P5,20,584
